num,fire,CFI1,CFI2,Fire.type,ROS,SFC,SFC.CLS,SFC.LF,CFC,Fire.intensity,Date,MC.SA,MC.SA_season,MC.SA_dens,MC.SA_stand,FSG1,FSG2,FMC,SH,ws,FFMC,ISI,DMC,DC,BUI,FWI,ExpProject,MC.FFMC,Site,T,RH,EFFM,Plot.sz,Plot.lg,Ig.time,Ig.type,Site.Lat,Site.Long,Site.elev,Grass.Cure
1,KENSHOE LK EXP FIRE #01 ONT,0,NA,S,0.9,0.69,1,0,0,186,1973-05-28,11.14837859,1,3,4.5,2,5.539168,86.2096,17,8,89.4,5.9,33,79,33,12,Kenshoe Lk (JP/BS),11.46756212,4,10.5,41,9,4000,100,NA,L,48.93,-85.275,355,NA
2,KENSHOE LK EXP FIRE #02 ONT,1,0,PCM,1.9,1.19,2,0,0.07,718,1973-05-29,10.90820393,1,3,4.5,2,4.780554,85.9261,16.5,11,89.5,6.9,35,84,35,14,Kenshoe Lk (JP/BS),11.36107383,4,12,35,9,4000,100,NA,L,48.93,-85.275,355,NA
3,KENSHOE LK EXP FIRE #03 ONT,1,0,PCM,1.8,1.16,2,0,0.21,740,1973-05-29,10.90820393,1,3,4.5,2,5.087518,85.9261,16.6,11,89.5,6.9,35,84,35,14,Kenshoe Lk (JP/BS),11.36107383,4,12,35,9,4000,100,NA,L,48.93,-85.275,355,NA
4,KENSHOE LK EXP FIRE #04 ONT,0,NA,S,0.7,0.7,1,0,0,147,1974-06-05,14.10531909,1.5,3,4.5,2,5.804522,85,17.1,12,88.6,6.4,30,117,36,13,Kenshoe Lk (JP/BS),12.32464551,4,26,48,10,4000,100,NA,L,48.93,-85.275,355,NA
5,KENSHOE LK EXP FIRE #05 ONT,1,1,PC,15.4,0.88,1,0,0.95,8455,1975-05-17,11.45401706,1,3,4.5,2,5.880855,91.8229,16.9,29,89.5,17.3,28,65,28,24,Kenshoe Lk (JP/BS),11.36107383,4,23,39,8,4000,100,NA,L,48.93,-85.275,355,NA
6,KENSHOE LK EXP FIRE #06 ONT,0,NA,S,0.5,0.83,1,0,0,125,1975-05-19,13.09734143,1,3,4.5,2,5.695558,90.4621,16.8,3,87.2,3.3,35,78,35,8,Kenshoe Lk (JP/BS),13.84703476,4,25,47,10,4000,100,NA,L,48.93,-85.275,355,NA
7,KENSHOE LK EXP FIRE #07 ONT,0,NA,S,1.5,0.43,1,0,0,194,1976-05-25,12.99545595,1,3,4.5,2,3.859505,86.89,16.4,7,88.9,5.2,19,86,25,9,Kenshoe Lk (JP/BS),12.00215633,4,17,30,8,4000,100,NA,L,48.93,-85.275,355,NA
8,KENSHOE LK EXP FIRE #08 ONT,0,NA,S,1.6,0.62,1,0,0,298,1976-05-26,11.20086859,1,3,4.5,2,3.726779,86.5309,17,11,90.2,7.7,23,92,28,14,Kenshoe Lk (JP/BS),10.61963928,4,20,33,8,4000,100,NA,L,48.93,-85.275,355,NA
9,KENSHOE LK EXP FIRE #09 ONT,1,1,PC,4.3,1.54,2,0,0.99,3264,1979-07-08,12.77799771,2,3,4.5,2,5.66435,106.1468,16.8,18,89.9,10.5,42,145,49,22,Kenshoe Lk (JP/BS),10.93654618,4,27,45,10,4000,100,NA,L,48.93,-85.275,355,NA
10,KENSHOE LK EXP FIRE #10 ONT,0,NA,S,1.7,0.68,1,0,0.21,454,1983-06-19,12.53808582,2,3,4.5,2,5.217735,88.7044,17.4,8,90.7,7.1,29,160,40,15,Kenshoe Lk (JP/BS),10.0942743,4,28.8,33,8,4000,100,NA,L,48.93,-85.275,355,NA
