"","num","fire","CFI1","Fire.type","ROS","SFC","SFC.CLS","SFC.LF","CFC","Fire.intensity","Date","MC.SA","MC.SA_season","MC.SA_dens","MC.SA_stand","FSG1","FSG2","FMC","SH","ws","FFMC","ISI","DMC","DC","BUI","FWI","ExpProject","MC.FFMC","Site","T","RH","Grass.Cure","Plot.Wd","isi.m","FT","CF"
"1",1,"KENSHOE LK EXP FIRE #01 ONT",0,"S",0.9,0.69,1,0,0,186,1973-05-28,11.14837859,1,3,4.5,2,5.539168,86.2096,17,8,89.4,5.9,33,79,33,12,"Kenshoe Lk (JP/BS)",11.46756212,4,10.5,41,NA,40,6.14591683486447,"Con",NA
"2",4,"KENSHOE LK EXP FIRE #04 ONT",0,"S",0.7,0.7,1,0,0,147,1974-06-05,14.10531909,1.5,3,4.5,2,5.804522,85,17.1,12,88.6,6.4,30,117,36,13,"Kenshoe Lk (JP/BS)",12.32464551,4,26,48,NA,40,5.08130183379861,"Con",NA
"3",6,"KENSHOE LK EXP FIRE #06 ONT",0,"S",0.5,0.83,1,0,0,125,1975-05-19,13.09734143,1,3,4.5,2,5.695558,90.4621,16.8,3,87.2,3.3,35,78,35,8,"Kenshoe Lk (JP/BS)",13.84703476,4,25,47,NA,40,3.68240948853185,"Con",NA
"4",7,"KENSHOE LK EXP FIRE #07 ONT",0,"S",1.5,0.43,1,0,0,194,1976-05-25,12.99545595,1,3,4.5,2,3.859505,86.89,16.4,7,88.9,5.2,19,86,25,9,"Kenshoe Lk (JP/BS)",12.00215633,4,17,30,NA,40,4.56562529795939,"Con",NA
"5",8,"KENSHOE LK EXP FIRE #08 ONT",0,"S",1.6,0.62,1,0,0,298,1976-05-26,11.20086859,1,3,4.5,2,3.726779,86.5309,17,11,90.2,7.7,23,92,28,14,"Kenshoe Lk (JP/BS)",10.61963928,4,20,33,NA,40,7.09838814976368,"Con",NA
"6",13,"PNFI 602 EXP FIRE #1 ONT",0,"S",1.1,1.1,2,0,0,377,1962-06-14,9.228241314,1.5,2,4,7.72,NA,103,19,5,90.5,5.9,51,225,65,17,"PNFI (JP)",10.304,6,24.4,44,NA,23,6.86268996157598,"Con",NA
"7",14,"PNFI 602 EXP FIRE #2 ONT",0,"S",0.4,0.49,1,0,0,66,1962-08-10,11.90437342,2,2,4,9.12,NA,115,19,10,90.3,7.2,28,308,45,17,"PNFI (JP)",10.51428571,6,22.2,45,NA,23,6.14005910115678,"Con",NA
"8",15,"PNFI 602 EXP FIRE #3 ONT",0,"S",2.6,0.4,1,0,0,318,1963-06-24,8.658565505,2,2,4,8.53,NA,105,19,8,92.8,9.6,37,222,52,22,"PNFI (JP)",7.925410374,6,28.3,28,NA,23,8.63179329322494,"Con",NA
"9",17,"PNFI 602 EXP FIRE #5 ONT",0,"S",2.1,2.16,3,0,0,1429,1963-07-31,9.295654911,2,2,4,7.33,NA,118,19,6,90.9,6.8,66,423,95,24,"PNFI (JP)",9.885106383,6,25,34,NA,23,7.15099999234121,"Con",NA
"10",20,"SHARPSAND THINNED EXP FIRE #08 ONT",0,"S",3.6,1.53,2,0.03148623,0,1652,1976-06-28,12.23403478,2,2,4,4.28,NA,102.08,8.6,14,89,7.5,41,210,55,19,"Sharpsand TH (JP)",11.89494949,10,22,39,NA,40,7.18730635314205,"Con",NA
"11",21,"SHARPSAND THINNED EXP FIRE #09 ONT",0,"S",1.3,1.15,2,0.03148623,0,449,1976-07-05,7.29968561,2,2,4,4.28,NA,110.7628,8.6,8,94.1,11.4,38,213,53,25,"Sharpsand TH (JP)",6.6125,10,30.5,23,NA,40,10.4087382787556,"Con",NA
"12",24,"SHARPSAND EXP FIRE #16 ONT PART-TH",0,"S",1,1.02,2,0.20334023,0.08,330,1981-07-12,15.35913,2,3,4,4.78,NA,115.9588,9.1,9,87.9,5,47,179,57,14,"Sharpsand IM (JP)",13.08222524,10,26,65,NA,40,3.72422031576778,"Con",NA
"13",25,"PRINCE GEORGE EXP FIRE # 124 BC",0,"S",0.9,0.53,1,0,0,154,1970-06-17,7.921487416,2,2,4,9.76,NA,90.4621,20.1,8.1,92.5,9.2,64,161,64,24,"PG (LP)",8.231578947,5,25.6,14,NA,15,9.60156119970645,"Con",NA
"14",26,"PRINCE GEORGE EXP FIRE # 123 BC",0,"S",1.2,0.28,1,0,0,119,1970-06-18,8.264252494,2,2,4,9.76,NA,91.1236,20.1,12.9,92,10.9,68,168,68,28,"PG (LP)",8.744554455,5,22.8,14,NA,15,11.6650033289307,"Con",NA
"15",27,"PRINCE GEORGE EXP FIRE # 119 BC",0,"S",2,1.24,2,0,0,762,1970-06-19,7.296482842,2,2,4,9.76,NA,91.8229,20.1,9.7,93,10.7,72,175,72,28,"PG (LP)",7.721967213,5,26.1,21,NA,15,11.3447010303416,"Con",NA
"16",28,"PRINCE GEORGE EXP FIRE # 120 BC",0,"S",1,0.19,1,0,0,69,1970-06-20,7.633459472,2,2,4,9.76,NA,92.56,20.1,6.4,92.5,8.4,77,183,77,24,"PG (LP)",8.231578947,5,27.8,15,NA,15,9.17029134313985,"Con",NA
"17",29,"PRINCE GEORGE EXP FIRE # 430 BC",0,"S",0.9,0.19,1,0,0,62,1970-07-05,9.660937957,2,1,4,6.71,NA,108.57,14.4,6.4,90.5,6.4,33,215,47,15,"PG (LP)",10.304,5,22.2,22,NA,15,6.94079416745082,"Con",NA
"18",30,"PRINCE GEORGE EXP FIRE # 433 BC",0,"S",1.1,0.41,1,0,0,149,1970-07-12,8.319458419,2,1,4,6.71,NA,115.2368,14.4,6.4,91,6.8,54,264,72,20,"PG (LP)",9.780730897,5,22.2,16,NA,15,8.34331584926189,"Con",NA
